"සුත්‍ර නාමය",පිටක​ය,නිකා​ය,වග්ග​ය,"පෙළ පිටු අංක","PDF පෙළ පිටු අංක ","PDF පාළි​ අටුවාව","සිංහල අටුවාව","PDF සිංහල අටුවාව","PDF පාළි ටීකා","පාළි - සිංහල ටීකා"
"කකචූපම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 309","""PDF"" SP_MN1 - 328","PA09_MN1 - 310","SA_MN2 - 103","""PDF"" SA_MN2 - 103","PT19_MN1 - 365","ST_MN1-II  - 142"
"අලගද්දූපම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 325","""PDF"" SP_MN1 - 344","PA09_MN1 - 316","SA_MN2 - 111","""PDF"" SA_MN2 - 111","PT19_MN1 - 368","ST_MN1-II  - 150"
"වම්මික සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 355","""PDF"" SP_MN1 - 374","PA09_MN1 - 329","SA_MN2 - 130","""PDF"" SA_MN2 - 130","PT19_MN1 - 382","ST_MN1-II  - 182"
"රථවිනීත සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 363","""PDF"" SP_MN1 - 382","PA09_MN1 - 339","SA_MN2 - 145","""PDF"" SA_MN2 - 145","PT19_MN1 - 388","ST_MN1-II  - 194"
"නිවාප සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 375","""PDF"" SP_MN1 - 394","PA09_MN1 - 358","SA_MN2 - 173","""PDF"" SA_MN2 - 173","PT19_MN1 - 398","ST_MN1-II  - 216"
"අරියපරියේසන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 395","""PDF"" SP_MN1 - 414","PA09_MN1 - 361","SA_MN2 - 177","""PDF"" SA_MN2 - 177","PT19_MN1 - 400","ST_MN1-II  - 222"
"චූළහත්‍ථිපදෝපම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 427","""PDF"" SP_MN1 - 446","PA09_MN1 - 383","SA_MN2 - 207","""PDF"" SA_MN2 - 207","PT19_MN1 - 415","ST_MN1-II  - 254"
"මහාහත්‍ථිපදෝපම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 449","""PDF"" SP_MN1 - 468","PA09_MN1 - 400","SA_MN2 - 232","""PDF"" SA_MN2 - 232","PT19_MN1 - 430","ST_MN1-II  - 288"
"මහාසාරෝපම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 463","""PDF"" SP_MN1 - 482","PA09_MN1 - 410","SA_MN2 - 246","""PDF"" SA_MN2 - 246","PT19_MN1 - 440","ST_MN1-II  - 312"
"චූළසාරෝපම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 3.ඕපම්ම වර්‍ගය","SP_MN1 - 479","""PDF"" SP_MN1 - 498","PA09_MN1 - 411","SA_MN2 - 247","""PDF"" SA_MN2 - 247","PT19_MN1 - 442","ST_MN1-II  - 316"
